Date,ETH paid,USD value of ETH paid,Payer,Beneficiary,Transaction hash
02 Dec 2024 17:30:47 GMT,0.0117,42.39599598,0x558173809e27e84d2baa6a633fb071d7e8a73a36,0x558173809e27e84d2baa6a633fb071d7e8a73a36,0x29e0613c225eb11e90a270943b686ed17dafc0eb5b02ac668166ff42246136fd
02 Dec 2024 17:30:11 GMT,0.05,181.17947,0x6b732fc36e690973ce78df4f8c0267203110a5b6,0x6b732fc36e690973ce78df4f8c0267203110a5b6,0xfeac3a5fc713c3d13662b3fd84241ec358504d83868e35419e5767b42582b2da
02 Dec 2024 17:20:11 GMT,0.12,434.830728,0x61422c7a37f1b41e47d3be51b78aef978d958d44,0x61422c7a37f1b41e47d3be51b78aef978d958d44,0xd7ce57bb2462543aa444e809702bab80354b7bc4367ad87b32e93904bf92f180
02 Dec 2024 17:13:35 GMT,2,7283.61544754,0x5fd21eba060ba46ad458d6a2b0db5c050f07feb2,0x5fd21eba060ba46ad458d6a2b0db5c050f07feb2,0x57e6edfc3b2bb0ca712df999d0fb3f452786945ca132ef57be0093873d636917
02 Dec 2024 17:00:47 GMT,0.12,434.604432,0x2224acd07fd9b269ab5200a9a3df8062624deefb,0x2224acd07fd9b269ab5200a9a3df8062624deefb,0xa2ec17bf9a34b96f8e7ff6a02e61397985c09584ab17182ac7295160c8ca8d9b
02 Dec 2024 16:59:47 GMT,0.12,434.604432,0x3261c8107e27fd3fa0fdfdeb1f60e0f4a572cdc4,0x3261c8107e27fd3fa0fdfdeb1f60e0f4a572cdc4,0xd9dd9693f29addae88d2da0428af93a8d4fb495c0c5e2efd7165c02e6e1fb1d0
02 Dec 2024 16:52:23 GMT,2.9,10502.94044,0x9b0c08781565a04cd60a858e37bc8a04ad5db7d3,0x9b0c08781565a04cd60a858e37bc8a04ad5db7d3,0x07b90a6cb17500a57bfddf45dde6fae8787a1ef446187634eb276d407f9c4a51
02 Dec 2024 16:49:47 GMT,0.08,289.736288,0x5189da5f70ed7776139fbf4d32c82fa837ba5ced,0x5189da5f70ed7776139fbf4d32c82fa837ba5ced,0x3bd59bd819223e476977c43a4a9ba14c3b99694f7f51a9f339cc202bda15150f
02 Dec 2024 16:41:23 GMT,5,18203.671045,0xcee121e857986fc4abb957a608e56674b13ef714,0xcee121e857986fc4abb957a608e56674b13ef714,0xfc2774060c4ca4f553e4b1f6c12adbe6de03ca223ea370688b28c3a2253e679c
02 Dec 2024 16:39:59 GMT,0.0185,67.3535828665,0x89b0a55482cd51dfcbafc62d086cd58c3c2b71b9,0x89b0a55482cd51dfcbafc62d086cd58c3c2b71b9,0xb8ee380b935148e510317f5e0a77a7ac303cd2c8891020277e1e9038843da9d8
02 Dec 2024 16:35:59 GMT,0.3,1092.2202627,0x1853c80c6eedb49aa74d7817436d79ab6373adc9,0x1853c80c6eedb49aa74d7817436d79ab6373adc9,0x65fa600e4d2e4e1005ff7ab4e5fa5d7aaa705557c6480cd6847e79c246f1d26f
02 Dec 2024 16:34:23 GMT,0.05,182.03671045,0x63a9ba6181bb3c8db8a66d3c43b6233d2976accc,0x63a9ba6181bb3c8db8a66d3c43b6233d2976accc,0xddb4d76a09b288b0d2dfc4283ba0cdb5af41665e496482b0a0f29a3eaa101b41
02 Dec 2024 16:32:59 GMT,0.1,364.0734209,0x0bb092d37eb8128ad90bfa146c016a7198fc6136,0x0bb092d37eb8128ad90bfa146c016a7198fc6136,0x08d67352f036630ef741535d1403c7e3c647f15de853b85292418eb7ecc0dc29
02 Dec 2024 16:31:47 GMT,0.5,1820.3671045,0x995aa34c61e78c8a3e75ca9feebfd2171b38a503,0x995aa34c61e78c8a3e75ca9feebfd2171b38a503,0x435230f68406673becc0baa59339bac0c17929e0cba15b42dd5a5d124e8d0710
02 Dec 2024 16:31:11 GMT,0.45,1638.33039405,0x13cd7c852709d73fe1dd111282c1807498ff0e2f,0x13cd7c852709d73fe1dd111282c1807498ff0e2f,0x448fae6872fa0b54abc43ce6762bde1e4b3414b20e6587a893a6bb83e9e1c41b
02 Dec 2024 16:30:35 GMT,0.06,218.44405254,0xfe871882259302907ecee2fbc4af4b160baa7d31,0xfe871882259302907ecee2fbc4af4b160baa7d31,0xd3c6c41f82fd9ffc7647367c765f73e97232f76eb7c8879b03dcd92915a053e3
02 Dec 2024 16:27:23 GMT,1,3659.4319,0x67622b5a8d7a245966d6656e493a3815d15252ab,0x67622b5a8d7a245966d6656e493a3815d15252ab,0xbe92e15420f6ddb673ec1b26ca104eae766f0d997d6dbe9b0c62676b97be81d0
02 Dec 2024 16:23:23 GMT,0.166,607.4656954,0x1679fa704399787c79b8713954b5d974dca8d20e,0x1679fa704399787c79b8713954b5d974dca8d20e,0x206d4c8238d4f1046eb4d29a128861d751566516ebd0fd294404aa03fe28c2c9
02 Dec 2024 16:17:35 GMT,0.012,43.975498968,0x16b5447f99441771f7142786f5dbf5f7a1e86d40,0x16b5447f99441771f7142786f5dbf5f7a1e86d40,0xb467f433478798d245b48abf2a3696d62c651bc34dbf1195d77b7729b31cc2ea
02 Dec 2024 16:17:35 GMT,0.5,1832.312457,0xa01baf25c8bf6937b5b51fd670a44026acce8e38,0xa01baf25c8bf6937b5b51fd670a44026acce8e38,0x70c13d4e11d6ac8850afd0ee348456baebefc34bd535b4d621952459be88e6a9
02 Dec 2024 16:16:47 GMT,0.001,3.664624914,0x0a10194cbd3697bf553c17b77a48c7baa1850c8a,0x0a10194cbd3697bf553c17b77a48c7baa1850c8a,0xe10b4d326a9a1856a1ca5e2f898ae437b7c6b46650d5beca3744e0ffae93659d
02 Dec 2024 16:15:11 GMT,0.1,366.4624914,0x6b38ba8656dcbb9ba6af20e1beb4a9530bf86f68,0x6b38ba8656dcbb9ba6af20e1beb4a9530bf86f68,0xd5829e79ca1875ea36a139dae63ded7c65f19b6f56145735649710ea7373ce10
